,history,n
15361,achelasia corrected hellerdor,1
15362,aches fever,1
15363,aches pains others,1
15364,acheswell,1
15365,acheswell controlled,1
15366,acheswell controlled htnwell,1
15367,achieved,1
15368,achieved remission,1
15369,achieved remission hcc,1
15370,achilles back,1
15371,achilles tendonitis,1
15372,achilles tendonitis gilberts,1
15373,acid abnormal,1
15374,acid bph,1
15375,acid bph ulcerative,1
15376,acid fish,1
15377,acid fish aspirin,1
15378,acid high,1
15379,acid high triglycerides,1
15380,acid indigestion,1
15381,acid indigestion insomnia,1
15382,acid injections,1
15383,acid level,1
15384,acid level mild,1
15385,acid levelcurrently,1
15386,acid levelcurrently controlled,1
15387,acid malabsorption,1
15388,acid managed,1
15389,acid managed omeprazol,1
15390,acid nephropathy,1
15391,acid nephropathy nephrolithiasis,1
15392,acid reflex,1
15393,acid reflux acute,1
15394,acid reflux allergies,1
15395,acid reflux anxiety,1
15396,acid reflux bariatric,1
15397,acid reflux blood,1
15398,acid reflux cardiac,1
15399,acid reflux cholesterol,1
15400,acid reflux cholseteral,1
15401,acid reflux diabetes,1
15402,acid reflux diagnosed,1
15403,acid reflux edema,1
15404,acid reflux endocrine,1
15405,acid reflux gallbladder,1
15406,acid reflux hashimotos,1
15407,acid reflux headache,1
15408,acid reflux hypercholesterolemia,1
15409,acid reflux hyperlipidemia,1
15410,acid reflux hypothyroidism,1
15411,acid reflux infertility,1
15412,acid reflux insomnia,1
15413,acid reflux joint,1
15414,acid reflux mild,1
15415,acid reflux moderate,1
15416,acid reflux november,1
15417,acid reflux otherwise,1
15418,acid reflux peripheral,1
15419,acid reflux seasonal,1
15420,acid reflux similar,1
15421,acid reflux sleep,1
15422,acid reflux supraventicular,1
15423,acid refluxgerd,1
15424,acid refulx,1
15425,acid refulx sundowns,1
15426,acidbase,1
15427,acidbase balance,1
15428,acidosis,1
15429,acidosis anemia,1
15430,acidosis anemia unspecified,1
15431,acne abo,1
15432,acne abo incompatibility,1
15433,acne allergy,1
15434,acne allergy animals,1
15435,acne crohns,1
15436,acne crohns eczema,1
15437,acne degeneration,1
15438,acne degeneration intervertebral,1
15439,acne depression,1
15440,acne depression anxiety,1
15441,acne gluteal,1
15442,acne gluteal tendinitis,1
15443,acne hsv,1
15444,acne hsv infection,1
15445,acne nutrition,1
15446,acne nutrition treatment,1
15447,acne ptsd,1
15448,acne ptsd osteopenia,1
15449,acne rosacea,1
15450,acne sensitivity,1
15451,acne sensitivity chemical,1
15452,acne sesaonal,1
15453,acne sesaonal allergies,1
15454,acne spironolactone,1
15455,acne spironolactone acne,1
15456,acne sulfonamide,1
15457,acne sulfonamide allergy,1
15458,acne svt,1
15459,acne vulgaris abnormal,1
15460,acne vulgaris l,1
15461,acne vulgaris shingles,1
15462,acquired absence cervix,1
15463,acquired absence left,1
15464,acquired anemia,1
15465,acquired anemia unspecified,1
15466,acquired atrophic,1
15467,acquired atrophic vaginitis,1
15468,acquired complex,1
15469,acquired complex cyst,1
15470,acquired deformity nose,1
15471,acquired deformity toe,1
15472,acquired dementia,1
15473,acquired dementia behavioral,1
15474,acquired e,1
15475,acquired e type,1
15476,acquired exertional,1
15477,acquired exertional dyspnea,1
15478,acquired hypothyroidism anxiety,1
15479,acquired hypothyroidism cervicalgia,1
15480,acquired hypothyroidism diabetes,1
15481,acquired hypothyroidism fibromyalgia,1
15482,acquired hypothyroidism geneticsmetabolics,1
15483,acquired hypothyroidism herpes,1
15484,acquired hypothyroidism neuropathy,1
15485,acquired hypothyroidism obesity,1
15486,acquired hypothyroidism recurrent,1
15487,acquired keratoderma,1
15488,acquired keratoderma hammertoe,1
15489,acquired left,1
15490,acquired left exophytic,1
15491,acquired lichen,1
15492,acquired lichen planus,1
15493,acquired neoplasm,1
15494,acquired neoplasm uncertain,1
15495,acquired palmar,1
15496,acquired palmar plantar,1
15497,acquired pes,1
15498,acquired pes planus,1
15499,acquired right,1
15500,acquired right foot,1
15501,acquired scoliosis,1
15502,acquired scoliosis ckd,1
15503,acquired unspecified,1
15504,acquired unspecified foot,1
15505,acral,1
15506,acral lentiginous,1
15507,acral lentiginous melanoma,1
15508,acromioclavicular,1
15509,acromioclavicular joint,1
15510,acromioclavicular joint peripheral,1
15511,across lesion,1
15512,across lesion mid,1
15513,across total,1
15514,across total occlusion,1
15515,act,1
15516,act allergies,1
15517,act allergies blossomed,1
15518,acth,1
15519,acth peripheral,1
15520,acth peripheral neuropathy,1
15521,actinic keratoses,1
15522,actinic keratoses rbbb,1
15523,actinic keratosis acute,1
15524,actinic keratosis anemia,1
15525,actinic keratosis cellulitis,1
15526,actinic keratosis dementia,1
15527,actinic keratosis lumbar,1
15528,actinic keratosis psoriasis,1
15529,actinic keratosis sp,1
15530,activation disorder neurocardiogenic,1
15531,activation disorder pots,1
15532,activation fibromyalgia,1
15533,activation fibromyalgia polycystic,1
15534,activation syndrome craniocervicalatlantoaxial,1
15535,activation syndrome dysautonomia,1
15536,activation syndrome ehlersdanlos,1
15537,activation syndrome oral,1
15538,activation syndrome rheumatoid,1
15539,active bladder neuroendoscopexcpit,1
15540,active chemotherapy,1
15541,active choroidal,1
15542,active choroidal neovascularization,1
15543,active current,1
15544,active current ct,1
15545,active high,1
15546,active high blood,1
15547,active independent,1
15548,active lung,1
15549,active lung ca,1
15550,active problem,1
15551,active problem list,1
15552,active problems abdominal,1
15553,active problems coloboma,1
15554,active problems noted,1
15555,active state eating,1
15556,active state hearing,1
15557,active tb,1
15558,active tb years,1
15559,active thryoid,1
15560,active thryoid heart,1
15561,active thyroid graves,1
15562,active thyroid low,1
15563,actively,1
15564,actively treated,1
15565,activity induced,1
15566,activity moderately,1
15567,activity moderately limited,1
15568,acuminata,1
15569,acuminata gastroesophageal,1
15570,acuminata gastroesophageal reflux,1
15571,acute acute,1
15572,acute acute myeloid,1
15573,acute anemia,1
15574,acute anemia pulmonary,1
15575,acute angleclosure,1
15576,acute angleclosure glaucoma,1
15577,acute anterolateral,1
15578,acute anterolateral myocardial,1
15579,acute anxiety,1
15580,acute anxiety chfwleft,1
15581,acute arteriosclerotic,1
15582,acute arteriosclerotic heart,1
15583,acute asthma,1
15584,acute atll,1
15585,acute atll sp,1
15586,acute bronchitis corns,1
15587,acute bronchitis due,1
15588,acute bronchitis o,1
15589,acute bronchitis pnuemonia,1
15590,acute bronchitis stenosis,1
15591,acute cerebral,1
15592,acute cerebral vascular,1
15593,acute chest pain,1
15594,acute chest syndrome,1
15595,acute chf,1
15596,acute chf copd,1
15597,acute constipation,1
15598,acute constipation unspecified,1
15599,acute covid,1
15600,acute cystocele,1
15601,acute cystocele unspecified,1
15602,acute deconditioning,1
15603,acute deconditioning ho,1
15604,acute diverticulitis,1
15605,acute diverticulitis acute,1
15606,acute duodenal,1
15607,acute duodenal ulcer,1
15608,acute encephalopathy,1
15609,acute encephalopathy year,1
15610,acute exacerbation congestive,1
15611,acute exacerbation dx,1
15612,acute exacerbation hcc,1
15613,acute exacerbation hypothyroidism,1
15614,acute exacerbation j,1
15615,acute exacerbation unspecified,1
15616,acute gastritis,1
15617,acute gastritis without,1
15618,acute gout allergic,1
15619,acute gout left,1
15620,acute heart,1
15621,acute heart failure,1
15622,acute hospitalization,1
15623,acute infection,1
15624,acute infection nasal,1
15625,acute infections k,1
15626,acute injury,1
15627,acute injury kidney,1
15628,acute intermittent,1
15629,acute intermittent porphyria,1
15630,acute ischemic right,1
15631,acute keratitis,1
15632,acute keratitis corneas,1
15633,acute kidney diabetes,1
15634,acute kidney inj,1
15635,acute lacunar,1
15636,acute lacunar stroke,1
15637,acute laryngopharyngitis,1
15638,acute laryngopharyngitis sinusitis,1
15639,acute low,1
15640,acute low back,1
15641,acute macular,1
15642,acute macular neuroretinopathy,1
15643,acute mi,1
15644,acute mi arthritis,1
15645,acute midline,1
15646,acute midline low,1
15647,acute myocardial,1
15648,acute myocardial infarction,1
15649,acute neurologic dx,1
15650,acute neurologic secondary,1
15651,acute nonst,1
15652,acute nonst segment,1
15653,acute osteomyelitis,1
15654,acute osteomyelitis right,1
15655,acute pancreatitis gerd,1
15656,acute pancreatitis without,1
15657,acute peptic,1
15658,acute peptic ulcer,1
15659,acute pharyngitis,1
15660,acute pharyngitis unspecified,1
15661,acute pulmonary,1
15662,acute pulmonary sarcoidosis,1
15663,acute pupil,1
15664,acute pupil exam,1
15665,acute pyelonephritis,1
15666,acute pyelonephritis muscle,1
15667,acute reaction,1
15668,acute reaction vaccine,1
15669,acute rehab,1
15670,acute renal insufficiency,1
15671,acute reoccuring,1
15672,acute reoccuring pancreatitis,1
15673,acute resp,1
15674,acute resp failure,1
15675,acute respiratory hyperlipidemia,1
15676,acute respiratory unspecified,1
15677,acute right,1
15678,acute right lumbar,1
15679,acute rt,1
15680,acute rt arterial,1
15681,acute scoliosis,1
15682,acute scoliosis bifid,1
15683,acute seroconversion,1
15684,acute seroconversion msm,1
15685,acute sinusitis adjustment,1
15686,acute sinusitis allergic,1
15687,acute sinusitis new,1
15688,acute sp,1
15689,acute sp exc,1
15690,acute subacute,1
15691,acute subacute impacted,1
15692,acute thyroiditis,1
15693,acute thyroiditis allergic,1
15694,acute uris,1
15695,acute uris vit,1
15696,acute without,1
15697,acute without mention,1
15698,acyclovir,1
15699,acyclovir mg,1
15700,acyclovir mg x,1
15701,add abnormal,1
15702,add abnormal loss,1
15703,add acute,1
15704,add acute infection,1
15705,add anxiety depression,1
15706,add anxiety hypothyroidism,1
15707,add atopic,1
15708,add atopic rhinitis,1
15709,add attention,1
15710,add attention deficit,1
15711,add blood,1
15712,add blood pressure,1
15713,add cervical,1
15714,add cervical spondylosis,1
15715,add degenerative,1
15716,add degenerative disc,1
15717,add depression,1
15718,add depression high,1
15719,add diabetes,1
15720,add diabetes longer,1
15721,add eczema,1
15722,add eczema psoriasis,1
15723,add ee,1
15724,add ee eosinophilic,1
15725,add elevated,1
15726,add elevated triglycerides,1
15727,add encounter,1
15728,add encounter screening,1
15729,add endometriosis,1
15730,add endometriosis insulin,1
15731,add gastroesophageal,1
15732,add gastroesophageal reflux,1
15733,add generalized,1
15734,add generalized anxiety,1
15735,add gets,1
15736,add gets distracted,1
15737,add hypogonadism,1
15738,add hypothyroidism,1
15739,add hypothyroidism postmenopausal,1
15740,add interstitial,1
15741,add interstitial cystitis,1
15742,add low,1
15743,add low back,1
15744,add migraines gerd,1
15745,add tbi,1
15746,addadhd depression,1
15747,addadhd depression anxiety,1
15748,addadhd vit,1
15749,addadhd vit d,1
15750,added adhd,1
15751,added adhd o,1
15752,added atherosclerosis,1
15753,added atherosclerosis aorta,1
15754,added bipolar,1
15755,added bipolar disorder,1
15756,added edema,1
15757,added edema swelling,1
15758,added hyperlipidemia,1
15759,added hyperlipidemia high,1
15760,added obesity,1
15761,added obesity bmi,1
15762,addiction caller,1
15763,addiction caller mentions,1
15764,addiction counselor,1
15765,addiction counselor training,1
15766,addisons adrenal,1
15767,addisons adrenal insufficiency,1
15768,addisons epilepsy,1
15769,addisons fruit,1
15770,addisons fruit allergy,1
15771,addisons gluten,1
15772,addisons gluten intolerance,1
15773,addisons graves,1
15774,addisons graves lymphoma,1
15775,addisons hashimotos,1
15776,addisons hashimotos thyroiditis,1
15777,addisons hcc,1
15778,addisons hcc endometriosis,1
15779,addisons immunodeficiency,1
15780,addisons immunodeficiency common,1
15781,addisons osteoarthritis,1
15782,addition high,1
15783,addition high triglycerides,1
15784,addition uveitis,1
15785,addition uveitis involving,1
15786,additional details,1
15787,additional details unknown,1
15788,additional information esophageal,1
15789,additional information item,1
15790,additional information medication,1
15791,additional information oxygen,1
15792,additive,1
15793,additive mercury,1
15794,adenocarcinoma cancer,1
15795,adenocarcinoma lung cancer,1
15796,adenocarcinoma lung diagnosed,1
15797,adenocarcinoma removed,1
15798,adenocarcinoma removed surgery,1
15799,adenoidectomy,1
15800,adenoidectomy bilateral,1
15801,adenoidectomy bilateral myringotomy,1
15802,adenoma anxiety,1
15803,adenoma anxiety major,1
15804,adenoma colon cyst,1
15805,adenoma colon gout,1
15806,adenoma colon scleral,1
15807,adenoma colon serrated,1
15808,adenoma copd,1
15809,adenoma copd stage,1
15810,adenoma fibromyalgia,1
15811,adenoma fibromyalgia hypertension,1
15812,adenoma hashimotos,1
15813,adenoma hashimotos addition,1
15814,adenoma htn,1
15815,adenoma htn meniscal,1
15816,adenoma hypothyroidism,1
15817,adenoma kidney,1
15818,adenoma kidney gout,1
15819,adenomas,1
15820,adenomyosis allergy,1
15821,adenomyosis allergy chemicals,1
15822,adenomyosis migraines,1
15823,adenomyosis migraines organic,1
15824,adenomyosis uterus,1
15825,adequate,1
15826,adequate ketogenic,1
15827,adequate ketogenic diet,1
15828,adh production,1
15829,adh production cmshcc,1
15830,adh secretion,1
15831,adh secretion causing,1
15832,adhd adrenal,1
15833,adhd adrenal insufficiency,1
15834,adhd allergies,1
15835,adhd allergies pollen,1
15836,adhd allergy animal,1
15837,adhd allergy nuts,1
15838,adhd anaphylaxis,1
15839,adhd anaphylaxis anxiety,1
15840,adhd anemia,1
15841,adhd anxiety back,1
15842,adhd anxiety depression,1
15843,adhd anxiety hashimotos,1
15844,adhd anxiety raynauds,1
15845,adhd anxiety seasonal,1
15846,adhd anxiety tics,1
15847,adhd anxietydepression seasonal,1
15848,adhd asthma bronchitis,1
15849,adhd asthma depression,1
15850,adhd asthma fibromyalgia,1
15851,adhd benign,1
15852,adhd benign hypertension,1
15853,adhd bipolar ii,1
15854,adhd blood,1
15855,adhd blood pressure,1
15856,adhd combined,1
15857,adhd combined presentation,1
15858,adhd current,1
15859,adhd current smoker,1
15860,adhd depression hyperlipidemia,1
15861,adhd depression remission,1
15862,adhd drug,1
15863,adhd drug addiction,1
15864,adhd endometriosis,1
15865,adhd endometriosis ptsd,1
15866,adhd familial,1
15867,adhd familial hypercholesterolemia,1
15868,adhd fatty,1
15869,adhd fatty liver,1
15870,adhd fibromyalgia,1
15871,adhd fibromyalgia environmental,1
15872,adhd gad depression,1
15873,adhd gerd ibs,1
15874,adhd gerd panic,1
15875,adhd gerd potts,1
15876,adhd gout,1
15877,adhd herpetic,1
15878,adhd herpetic whitlow,1
